id|namecode|tropicos_namecode|family|family_zh|family_fot|family_fot_zh|genus|genus_zh|name|fullname|plant_type|zh_name
6619|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium pseudolaserpitiifolium|Asplenium pseudolaserpitiifolium Ching|2|{黑鱗鐵角蕨}
6620|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium pulcherrimum|Asplenium pulcherrimum (Baker) Ching ex Tardieu|2|{細葉鐵角蕨}
6621|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium ritoense|Asplenium ritoense Hayata|2|{尖葉鐵角蕨}
6622|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium ruta-muraria|Asplenium ruta-muraria L.|2|{銀杏葉鐵角蕨}
6623|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium scolopendrium|Asplenium scolopendrium L.|2|{對開蕨}
6624|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium septentrionale|Asplenium septentrionale (L.) Hoffm.|2|{線葉鐵角蕨}
6625|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium serricula|Asplenium serricula Fée |2|{蘭嶼鐵角蕨}
7502|||Aspleniaceae|鐵角蕨科|Aspleniaceae|鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium steerei|Asplenium steerei Harr.|2|{劍羽鐵角蕨}
6626|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium subnormale|Asplenium subnormale Copel.|2|{小鐵角蕨}
6627|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium tenerum|Asplenium tenerum G. Forst.|2|{鈍齒鐵角蕨}
6628|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium tenuicaule|Asplenium tenuicaule Hayata|2|{小葉鐵角蕨}
6629|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium tenuifolium|Asplenium tenuifolium D. Don|2|{薄葉鐵角蕨}
6630|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium trichomanes|Asplenium trichomanes L.|2|{鐵角蕨}
6631|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium tripteropus|Asplenium tripteropus Nakai|2|{三翅鐵角蕨}
6632|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium viride|Asplenium viride Huds.|2|{綠柄鐵角蕨}
6633|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium wilfordii|Asplenium wilfordii Mett. ex Kuhn|2|{威氏鐵角蕨}
6634|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium wrightii|Asplenium wrightii D.C. Eaton ex Hook.|2|{萊氏鐵角蕨}
6635|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium yoshinagae|Asplenium yoshinagae Makino|2|{斜葉鐵角蕨}
6636|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium yunnanense|Asplenium yunnanense Franch.|2|{雲南鐵角蕨}
6637|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium ×shikokianum|Asplenium ×shikokianum Makino|2|{四國鐵角蕨}
6638|||Aspleniaceae|鐵角蕨科||鐵角蕨科|Asplenium|鐵角蕨屬|Asplenium ×wangii|Asplenium ×wangii C.M. Kuo|2|{王氏鐵角蕨}
7436|||Aspleniaceae|鐵角蕨科|Aspleniaceae|鐵角蕨科|Hymenasplenium|膜葉鐵角蕨屬|Hymenasplenium cataractarum|Hymenasplenium cataractarum (Rosenst.) N.Murakami|2|{湍生鐵角蕨}
7448|||Aspleniaceae|鐵角蕨科|Aspleniaceae|鐵角蕨科|Hymenasplenium|膜葉鐵角蕨屬|Hymenasplenium obliquissimum|Hymenasplenium obliquissimum (Hayata) Sugimoto|2|{蔭濕膜葉鐵角蕨}
6639|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium anisopterum|Athyrium anisopterum Christ|2|{宿蹄蓋蕨}
6640|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium arisanense|Athyrium arisanense (Hayata) Tagawa|2|{阿里山蹄蓋蕨}
6641|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium atkinsonii|Athyrium atkinsonii Bedd.|2|{亞德氏蹄蓋蕨}
6642|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium auriculatum|Athyrium auriculatum Seriz.|2|{耳垂蹄蓋蕨}
6643|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium banajaoensis|Athyrium banajaoensis (K. Iwats. & M.G. Price) C.T. Lin & Y.C. Liu comb. nov.|2|{大葉貞蕨}
6644|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium cryptogrammoides|Athyrium cryptogrammoides Hayata|2|{合歡山蹄蓋蕨}
6645|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium cumingianum|Athyrium cumingianum (C. Presl) Ching|2|{安蕨}
6646|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium decurrenti-alatum var. pilosellum|Athyrium decurrenti-alatum var. pilosellum (H. Itô) Ohwi|2|{毛葉貞蕨}
6647|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium decurrenti-alatum (Hook.) var. decurrenti-alatum|Athyrium decurrenti-alatum (Hook.) Copel. var. decurrenti-alatum|2|{貞蕨}
6648|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium delavayi var. delavayi|Athyrium delavayi Christ var. delavayi|2|{溪谷蹄蓋蕨}
6650|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium epirachis|Athyrium epirachis (Christ) Ching|2|{軸果蹄蓋蕨}
6651|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium erythropodum|Athyrium erythropodum Hayata|2|{紅柄蹄蓋蕨}
6652|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium iseanum|Athyrium iseanum Rosenst.|2|{細葉蹄蓋蕨}
6653|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium leiopodum|Athyrium leiopodum (Hayata) Tagawa|2|{小葉蹄蓋蕨}
6654|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium minimum|Athyrium minimum Ching|2|{七星山蹄蓋蕨}
6655|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium mupinense|Athyrium mupinense Christ|2|{細裂蹄蓋蕨}
6656|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium nakanoi|Athyrium nakanoi Makino|2|{紅苞蹄蓋蕨}
