sn|family_apgiv|genus_apgiv|genus_zh|genus_accepted|genus_accepted_name
248|Asteraceae|Leontopodium|薄雪草屬|t|""
249|Asteraceae|Leucanthemum|濱菊屬|t|""
250|Asteraceae|Ligularia|橐吾屬|t|""
251|Asteraceae|Matricaria|野菊屬|t|""
252|Asteraceae|Microglossa|小舌菊屬|t|""
253|Asteraceae|Mikania|蔓澤蘭屬|t|""
254|Asteraceae|Myriactis|矮菊屬|t|""
255|Asteraceae|Nemosenecio|羽葉千里光屬|t|""
256|Asteraceae|Notoseris|紫菊屬|t|""
257|Asteraceae|Paraixeris|黃瓜菜屬|t|""
258|Asteraceae|Paraprenanthes|假福王草屬|t|""
259|Asteraceae|Parasenecio|蟹甲草屬|t|""
260|Asteraceae|Parthenium|銀膞菊屬|t|""
261|Asteraceae|Pertya|高野帚屬|t|""
262|Asteraceae|Petasites|款冬屬|t|""
263|Asteraceae|Picris|毛蓮菜屬|t|""
264|Asteraceae|Pluchea|闊苞菊屬|t|""
265|Asteraceae|Praxelis|貓腥草屬|t|""
266|Asteraceae|Pseudelephantopus|假地膽草屬|t|""
267|Asteraceae|Pseudoconyza|假蓬舅屬|t|""
268|Asteraceae|Pterocypsela|翅果菊屬|t|""
269|Asteraceae|Rhynchospermum|秋分草屬|t|""
270|Asteraceae|Saussurea|青木香屬|t|""
271|Asteraceae|Senecio|黃菀屬|t|""
272|Asteraceae|Sigesbeckia|豨薟屬|t|""
273|Asteraceae|Solidago|一枝黃花屬|t|""
274|Asteraceae|Soliva|假吐金菊屬|t|""
275|Asteraceae|Sonchus|苦苣菜屬|t|""
276|Asteraceae|Sphaeranthus|戴星草屬|t|""
277|Asteraceae|Synedrella|金腰箭屬|t|""
278|Asteraceae|Syneilesis|破傘菊屬|t|""
279|Asteraceae|Tagetes|孔雀草屬|t|""
280|Asteraceae|Taraxacum|蒲公英屬|t|""
281|Asteraceae|Tephroseris|狗舌草屬|t|""
282|Asteraceae|Tithonia|腫柄菊屬|t|""
283|Asteraceae|Tridax|長柄菊屬|t|""
284|Asteraceae|Vernonia|斑鳩菊屬|t|""
285|Asteraceae|Wedelia|蟛蜞菊屬|t|""
286|Asteraceae|Xanthium|蒼耳屬|t|""
287|Asteraceae|Youngia|黃鵪菜屬|t|""
288|Asteraceae|Zinnia|百日菊屬|t|""
289|Balanophoraceae|Balanophora|蛇菰屬|t|""
290|Balsaminaceae|Impatiens|鳳仙花屬|t|""
291|Basellaceae|Anredera|落葵薯屬|t|""
292|Basellaceae|Basella|落葵屬|t|""
293|Begoniaceae|Begonia|秋海棠屬|t|""
294|Berberidaceae|Berberis|小檗屬|t|""
295|Berberidaceae|Dysosma|八角蓮屬|t|""
296|Berberidaceae|Mahonia|十大功勞屬|t|""
297|Betulaceae|Alnus|赤楊屬|t|""
298|Betulaceae|Carpinus|千金榆屬|t|""
299|Betulaceae|Corylus|榛屬|t|""
300|Bignoniaceae|Radermachera|山菜豆屬|t|""
301|Bignoniaceae|Radermachia|山菜豆屬|f|Radermachera
302|Bignoniaceae|Spathodea|火焰樹屬|t|""
303|Bignoniaceae|Tecoma|黃鐘花屬|t|""
304|Boraginaceae|Bothriospermum|細纍子草屬|t|""
305|Boraginaceae|Cynoglossum|琉璃草屬|t|""
306|Boraginaceae|Lithospermum|紫草屬|t|""
307|Boraginaceae|Myosotis|勿忘草屬|t|""
308|Boraginaceae|Symphytum|聚合草屬|t|""
309|Boraginaceae|Thyrocarpus|盾果草屬|t|""
310|Boraginaceae|Trichodesma|碧果草屬|t|""
311|Boraginaceae|Trigonotis|附地草屬|t|""
312|Brassicaceae|Arabis|筷子芥屬|t|""
313|Brassicaceae|Barbarea|山芥屬|t|""
314|Brassicaceae|Brassica|蕓苔屬|t|""
315|Brassicaceae|Capsella|薺屬|t|""
316|Brassicaceae|Cardamine|碎米薺屬|t|""
317|Brassicaceae|Cochlearia|西洋山萮菜|t|""
318|Brassicaceae|Coronopus|濱芥屬|t|""
319|Brassicaceae|Draba|山薺屬|t|""
320|Brassicaceae|Eutrema|山葵屬|t|""
321|Brassicaceae|Lepidium|獨行菜屬|t|""
322|Brassicaceae|Nasturtium|豆瓣菜屬|t|""
323|Brassicaceae|Neslia|球果薺屬|t|""
324|Brassicaceae|Raphanus|萊服屬|t|""
325|Brassicaceae|Rapistrum|皺果薺屬|t|""
326|Brassicaceae|Rorippa|葶藶屬|t|""
327|Brassicaceae|Sisymbrium|抪娘蒿屬|t|""
328|Brassicaceae|Thlaspi|菥蓂屬|t|""
329|Brassicaceae|Wasabia|山葵屬|t|""
330|Bromeliaceae|Ananas|鳳梨屬|t|""
331|Burmanniaceae|Burmannia|水玉簪屬|t|""
332|Burmanniaceae|Gymnosiphon|小水玉簪屬|t|""
333|Burmanniaceae|Thismia|水玉杯屬|t|""
334|Buxaceae|Buxus|黃楊屬|t|""
335|Buxaceae|Pachysandra|三角咪屬|t|""
336|Buxaceae|Sarcococca|野扇花屬|t|""
337|Cabombaceae|Brasenia|蓴屬|t|""
338|Cabombaceae|Cabomba|穗蓴屬|t|""
339|Cactaceae|Cereus|六角柱屬|t|""
340|Cactaceae|Epiphyllum|曇花屬|t|""
341|Cactaceae|Hylocereus|量天尺屬|t|""
342|Cactaceae|Opuntia|仙人掌屬|t|""
343|Cactaceae|Selenicereus|蛇鞭柱屬|t|""
344|Calophyllaceae|Calophyllum|胡桐屬|t|""
345|Campanulaceae|Adenophora|沙參屬|t|""
346|Campanulaceae|Campanula|桔梗屬|t|""
347|Campanulaceae|Codonopsis|山奶草屬|t|""
348|Campanulaceae|Cyclocodon|土黨參屬|t|""
349|Campanulaceae|Hippobroma|馬醉草屬|t|""
350|Campanulaceae|Lobelia|山梗菜屬|t|""
351|Campanulaceae|Peracarpa|山桔梗屬|t|""
352|Campanulaceae|Triodanis|異檐花屬|t|""
353|Campanulaceae|Wahlenbergia|蘭花參屬|t|""
354|Cannabaceae|Aphananthe|糙葉樹屬|t|""
355|Cannabaceae|Celtis|朴屬|t|""
356|Cannabaceae|Humulus|葎草屬|t|""
357|Cannabaceae|Trema|山黃麻屬|t|""
358|Cannaceae|Canna|美人蕉屬|t|""
359|Capparaceae|Capparis|山柑屬|t|""
360|Capparaceae|Crateva|魚木屬|t|""
361|Caprifoliaceae|Abelia|六道木屬|f|Linnaea
362|Caprifoliaceae|Linnaea|北極花屬|t|""
363|Caprifoliaceae|Lonicera|忍冬屬|t|""
364|Caprifoliaceae|Patrinia|敗醬屬|t|""
365|Caprifoliaceae|Scabiosa|山蘿蔔屬|t|""
366|Caprifoliaceae|Triplostegia|雙參屬|t|""
367|Caprifoliaceae|Valeriana|纈草屬|t|""
368|Cardiopteridaceae|Gonocaryum|瓊欖屬|t|""
369|Caricaceae|Carica|番木瓜屬|t|""
370|Caryophyllaceae|Arenaria|無心菜屬|t|""
371|Caryophyllaceae|Cerastium|卷耳屬|t|""
372|Caryophyllaceae|Cucubalus|狗筋蔓屬|t|""
373|Caryophyllaceae|Dianthus|石竹屬|t|""
374|Caryophyllaceae|Drymaria|荷蓮豆草屬|t|""
375|Caryophyllaceae|Moehringia|種阜草屬|t|""
376|Caryophyllaceae|Polycarpaea|白鼓釘屬|t|""
377|Caryophyllaceae|Sagina|瓜槌草屬|t|""
378|Caryophyllaceae|Silene|蠅子草屬|t|""
379|Caryophyllaceae|Spergula|大爪草屬|t|""
380|Caryophyllaceae|Stellaria|繁縷屬|t|""
1492|Caryophyllaceae |Polycarpon|多莢草屬|t|
381|Casuarinaceae|Casuarina|木麻黃屬|t|""
382|Celastraceae|Celastrus|南蛇藤屬|t|""
383|Celastraceae|Euonymus|衛矛屬|t|""
384|Celastraceae|Maytenus|美登木屬|t|""
385|Celastraceae|Microtropis|假衛矛屬|t|""
386|Celastraceae|Parnassia|梅花草屬|t|""
387|Celastraceae|Tripterygium|雷公藤屬|t|""
388|Ceratophyllaceae|Ceratophyllum|金魚藻屬|t|""
389|Chloranthaceae|Chloranthus|金粟蘭屬|t|""
390|Chloranthaceae|Sarcandra|接骨木屬|t|""
391|Cleomaceae|Cleome|白花菜屬|t|""
392|Clusiaceae|Garcinia|福木屬|t|""
393|Colchicaceae|Disporum|寶鐸花屬|t|""
394|Coldeniaceae|Coldenia|生果草屬|t|""
395|Combretaceae|Lumnitzera|欖李屬|t|""
396|Combretaceae|Quisqualis|使君子屬|t|""
397|Combretaceae|Terminalia|欖仁屬|t|""
398|Commelinaceae|Amischotolype|穿鞘花屬|t|""
399|Commelinaceae|Belosynapsis|假紫萬年青屬|t|""
400|Commelinaceae|Callisia|大葉錦竹草屬|t|""
401|Commelinaceae|Commelina|鴨跖草屬|t|""
402|Commelinaceae|Cyanotis|鴨舌疝屬|t|""
403|Commelinaceae|Floscopa|蔓襄荷屬|t|""
404|Commelinaceae|Gibasis|細梗鴨跖草屬|t|""
405|Commelinaceae|Murdannia|水竹葉屬|t|""
406|Commelinaceae|Pollia|杜若屬|t|""
407|Commelinaceae|Rhoeo|紫萬年青屬|t|""
408|Commelinaceae|Rhopalephora|毛果竹葉菜屬|t|""
409|Commelinaceae|Setcreasea|紫錦草屬|t|""
410|Commelinaceae|Tradescantia|巴西水竹草屬|t|""
411|Commelinaceae|Zebrina|吊竹草屬|t|""
412|Connaraceae|Connarus|牛栓藤屬|t|""
413|Connaraceae|Rourea|紅葉藤屬|t|""
414|Convolvulaceae|Argyreia|朝顏屬|t|""
415|Convolvulaceae|Calystegia|濱旋花屬|t|""
416|Convolvulaceae|Cuscuta|菟絲子屬|t|""
417|Convolvulaceae|Dichondra|馬蹄金屬|t|""
418|Convolvulaceae|Erycibe|伊立基藤屬|t|""
419|Convolvulaceae|Evolvulus|土丁桂屬|t|""
420|Convolvulaceae|Hewittia|吊鐘藤屬|t|""
421|Convolvulaceae|Ipomoea|牽牛花屬|t|""
422|Convolvulaceae|Jacquemontia|娥房藤屬|t|""
423|Convolvulaceae|Lepistemon|鮮蕊藤屬|t|""
424|Convolvulaceae|Merremia|菜欒藤屬|t|""
425|Convolvulaceae|Operculina|盒果藤屬|t|""
426|Convolvulaceae|Stictocardia|大萼旋花屬|t|""
427|Convolvulaceae|Xenostegia|戟葉菜欒藤屬|t|""
428|Cordiaceae|Cordia|破布子屬|t|""
429|Coriariaceae|Coriaria|馬桑屬|t|""
430|Cornaceae|Alangium|八角楓屬|t|""
431|Cornaceae|Benthamidia|四照花屬|t|""
432|Cornaceae|Swida|梜木屬|t|""
433|Costaceae|Costus|閉鞘薑屬|t|""
434|Crassulaceae|Bryophyllum|落地生根屬|t|""
435|Crassulaceae|Crassula|青鎖龍屬|t|""
436|Crassulaceae|Echeveria|擬石蓮花屬|t|""
437|Crassulaceae|Hylotelephium|八寶屬|t|""
438|Crassulaceae|Kalanchoe|燈籠草屬|t|""
439|Crassulaceae|Sedum|佛甲草屬|t|""
440|Cucurbitaceae|Actinostemma|合子草屬|t|""
441|Cucurbitaceae|Benincasa|冬瓜屬|t|""
442|Cucurbitaceae|Citrullus|西瓜屬|t|""
443|Cucurbitaceae|Coccinia|紅瓜屬|t|""
444|Cucurbitaceae|Cucurbita|南瓜屬|t|""
445|Cucurbitaceae|Diplocyclos|雙輪瓜屬|t|""
446|Cucurbitaceae|Gymnopetalum|裸瓣瓜屬|t|""
447|Cucurbitaceae|Gynostemma|絞股藍屬|t|""
448|Cucurbitaceae|Lagenaria|葫蘆屬|t|""
449|Cucurbitaceae|Luffa|絲瓜屬|t|""
450|Cucurbitaceae|Melothria|垂瓜果屬|t|""
451|Cucurbitaceae|Momordica|苦瓜屬|t|""
452|Cucurbitaceae|Mukia|紅紐子屬|t|""
453|Cucurbitaceae|Neoalsomitra|穿山龍屬|t|""
454|Cucurbitaceae|Sechium|佛手瓜屬|t|""
455|Cucurbitaceae|Sicyos|刺果瓜屬|t|""
456|Cucurbitaceae|Siraitia|羅漢果屬|t|""
457|Cucurbitaceae|Solena|茅瓜屬|t|""
458|Cucurbitaceae|Thladiantha|青牛膽屬|t|""
459|Cucurbitaceae|Trichosanthes|括樓屬|t|""
460|Cucurbitaceae|Zehneria|馬㼎兒屬|t|""
461|Cymodoceaceae|Halodule|二葯藻屬|t|""
462|Cyperaceae|Actinoscirpus|大藨草屬|t|""
463|Cyperaceae|Bolboschoenus|塊莖藨草屬|t|""
464|Cyperaceae|Bulbostylis|球柱草屬|t|""
465|Cyperaceae|Carex|薹屬|t|""
466|Cyperaceae|Cladium|克拉莎屬|t|""
467|Cyperaceae|Cyperus|莎草屬|t|""
469|Cyperaceae|Diplacrum|裂穎茅屬|t|""
470|Cyperaceae|Eleocharis|荸薺屬|t|""
471|Cyperaceae|Fimbristylis|飄拂草屬|t|""
472|Cyperaceae|Fuirena|黑珠蒿屬|t|""
473|Cyperaceae|Gahnia|黑莎草屬|t|""
474|Cyperaceae|Hypolytrum|割雞芒屬|t|""
475|Cyperaceae|Kyllinga|水蜈蚣屬|t|""
476|Cyperaceae|Lepironia|石龍芻屬|t|""
477|Cyperaceae|Lipocarpha|湖瓜草屬|t|""
478|Cyperaceae|Mariscus|磚子苗屬|f|Cyperus
479|Cyperaceae|Pycreus|扁莎屬|t|""
480|Cyperaceae|Remirea|海濱莎屬|t|""
